cluster,AVG_SUMMER_TEMP,MIN_SUMMER_TEMP,MAX_SUMMER_TEMP,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,LATITUDE_DD,LONGITUDE_DD
-1,18.472499974999998,10.4,22.5,10.4,8.62,12.69,47.6792331294964,-86.78401776978417
0,15.833333333333334,11.5,20.5,11.36,9.95,12.97,46.50797437125748,-86.56845193612774
1,17.52857142857143,14.0,21.1,10.24185185185185,9.08,12.89,46.51688563474387,-87.33678788418707
2,19.422221999999998,17.0,22.0,10.905121951219513,8.73,12.99,46.54326816280384,-84.74819579423402
3,14.583333333333334,7.25,22.0,10.8,8.91,12.41,46.70000329411765,-90.03226088235294
4,15.9,10.0,21.0,9.957142857142857,9.08,10.89,46.713631377551025,-85.8181612244898
5,18.125,16.0,21.5,10.604444444444445,8.88,12.51,46.73053916591115,-84.79163081595648
6,18.633333333333333,14.5,21.0,10.737307692307693,9.0,13.17,46.7482118491921,-90.70342768402155
7,14.0,7.0,22.0,10.49,8.98,11.87,46.7499398,-91.67835515
8,16.26,10.0,21.5,10.93,8.93,15.41,46.779569650872816,-92.05223568578555
9,16.575000166666666,9.75,21.5,11.6095,9.2,12.91,46.81662381818182,-91.88497242424242
10,16.516666666666666,12.7,20.5,11.75206896551724,9.21,13.73,46.84485092633115,-90.18885808898614
11,18.5,18.5,18.5,11.6525,9.62,13.04,46.85539233124019,-86.56770079277865
13,14.65,9.0,19.5,11.623333333333333,9.13,13.19,46.906786358313816,-91.82033172131148
14,19.6,19.6,19.6,12.37375,10.29,13.1,46.9081254825462,-86.59700899383984
15,17.475,14.0,21.0,11.614444444444445,9.01,13.62,46.93217507709251,-87.30496045154185
16,13.5,9.5,18.5,11.861,9.4,13.2,46.938200323101775,-91.44872250403878
17,17.200001,17.200001,17.200001,12.2325,10.37,13.58,46.96835608108108,-85.72824260914761
18,17.257142857142856,15.5,19.0,11.464468085106384,8.83,13.88,47.01655429390997,-88.18290558693734
19,15.774999833333332,5.25,21.0,10.462272727272728,9.09,12.58,47.02663412903226,-89.03834619354838
20,15.7400002,12.7,20.3,12.363809523809524,9.39,13.74,47.0365576031825,-85.10278318746892
21,15.275,9.0,20.5,12.47181818181818,9.04,13.68,47.079829671328675,-86.47776706993007
22,17.45,14.4,20.5,10.871666666666668,9.18,12.44,47.09996952380953,-90.46251714285715
23,16.5600002,12.5,19.200001,12.106,9.27,14.22,47.13138010220769,-91.11174572363042
24,16.6000005,14.0,19.200001,12.345384615384615,9.75,13.52,47.15937190658499,-87.28165304747321
26,16.5,14.1,19.0,12.04653846153846,9.48,13.77,47.2067043724559,-89.6668576221167
27,15.549999999999999,12.0,24.0,12.022307692307692,9.35,14.0,47.21321144215531,-85.63311762678289
28,16.200001,16.200001,16.200001,11.95142857142857,10.44,13.18,47.31028,-89.97777999999998
29,17.700001,17.700001,17.700001,12.234285714285715,10.24,13.86,47.324441749819236,-86.3714256109906
31,16.35,10.5,20.9,11.742666666666667,9.35,13.54,47.366665176,-88.818458208
32,16.6,16.6,16.6,12.14,10.03,13.12,47.39917,-87.42694
33,17.433333666666666,14.6,19.200001,11.952142857142858,9.44,13.9,47.40171633294529,-87.41148918509894
34,13.040000000000001,10.0,17.5,12.228333333333333,9.58,13.71,47.44995215801355,-89.92065055079007
35,17.133333333333333,16.5,17.5,12.165000000000001,8.71,14.08,47.45509496936472,-85.27482876491455
36,13.6,9.0,18.0,12.37875,9.62,13.46,47.468110135678394,-90.90464643718593
37,14.5799998,8.5,17.0,12.08923076923077,9.68,14.02,47.58365962962963,-86.95169228904162
38,17.333333333333332,14.5,19.5,11.7025,9.51,13.52,47.60527265474553,-88.21651741861531
39,14.9,9.5,18.5,12.267407407407408,9.83,13.41,47.60670617408907,-87.70933678137652
40,14.725,11.0,18.5,11.76,9.5,13.42,47.6124918674988,-89.00017389342295
41,14.180000000000001,10.0,17.5,12.459999999999999,9.52,15.47,47.68788788494078,-89.46651404822336
42,16.4,14.5,19.0,11.718,9.39,13.54,47.689414608487745,-85.96636226539151
44,14.0900002,8.75,17.200001,11.948076923076922,10.35,13.16,47.74640519328586,-90.23493478636827
45,14.80000025,12.0,17.5,12.056923076923077,9.97,13.56,47.80299388140162,-89.14595114555257
46,14.933333333333332,12.3,16.5,12.269285714285715,9.93,13.5,47.84694403681788,-87.45668076265615
47,15.566666333333332,11.8,19.299999,11.988387096774193,9.32,13.54,47.84841226516052,-88.33666417063021
48,16.299999,16.299999,16.299999,12.525,10.85,13.75,47.85842038107753,-86.63432272667544
49,12.7,9.0,17.5,12.357647058823531,9.55,13.6,47.88353306935563,-89.63955548450566
50,18.05,16.0,19.5,11.385405405405406,9.22,15.08,47.918090104166666,-84.91290586074562
51,15.1,12.8,19.5,11.33375,9.36,12.83,48.10834199404761,-88.45862735119047
52,14.940000000000001,12.5,17.0,12.112916666666665,9.54,13.83,48.112997092228866,-86.30008789496158
53,14.074999833333331,9.1,16.799999,11.818372093023255,9.93,13.9,48.14509615183246,-87.7034677334206
54,12.066666666666668,9.5,16.5,12.102222222222222,9.54,13.28,48.14985793510324,-89.1488812979351
55,14.75,13.2,16.0,11.790000000000001,9.93,13.61,48.21844323613766,-87.01617655353729
56,15.2166665,12.0,17.0,11.306,9.32,13.22,48.25332781954887,-89.17995426065163
57,16.05,13.5,19.5,11.195333333333334,9.19,12.54,48.416598090349076,-88.93335567761807
58,14.416666666666666,13.0,15.6,12.505714285714287,10.02,14.42,48.438159525436596,-87.25326856492028
59,15.779999800000002,13.5,18.0,11.8584,9.45,13.77,48.57486407336827,-88.1163738685088
60,15.175,13.5,18.0,11.62125,9.38,13.66,48.58350633466135,-86.56478053386455
61,15.3,14.0,17.0,12.090625,9.75,13.36,48.732446468619244,-87.56335917154813
62,16.680000200000002,14.3,17.9,11.622424242424243,9.4,13.21,48.75657841144549,-86.97562949185989
